V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2029.692,2031.1691,2031.0142,2031.4546,2032.597,2031.0977,2030.6898,2031.6211,2032.0115,2031.6177,2031.9232,2032.8524,2032.2153,2033.8369
2968.3147,2971.1353,2970.4045,2970.1143,2971.1152,2971.8323,2975.093,2973.9932,2977.6292,2979.9631,2978.1704,2979.6272,2977.3042,2979.2725
1123.8741,1123.6608,1120.5664,1127.3782,1124.7264,1122.5342,1124.1313,1125.8054,1124.6993,1124.0156,1126.7626,1126.592,1125.2571,1123.9869
1206.4066,1246.3579,1236.8508,1223.9897,1220.8193,1194.9371,1201.184,1198.4989,1210.6368,1207.7054,1185.1464,1187.8713,1187.7191,1205.6185
5869.7617,5875.829,5878.064,5878.8125,5884.9795,5878.4136,5875.408,5878.589,5880.507,5883.686,5877.4175,5884.189,5884.091,5888.762
3100.6008,3105.929,3103.1074,3100.493,3109.7952,3104.0088,3094.2922,3093.0554,3108.7449,3094.091,3085.0027,3099.643,3085.525,3091.364
5230.627,5254.687,5261.1074,5339.9355,5251.534,5294.29,5334.3823,5423.217,5326.923,5326.8135,5427.5913,5416.295,5456.1743,5365.1504
1731.7821,1734.0171,1734.1904,1734.7664,1736.2684,1734.3959,1733.192,1734.0768,1735.3112,1735.2081,1732.4773,1735.2748,1734.1764,1736.6534
1584.562,1586.4434,1586.5004,1587.1166,1588.37,1586.7164,1585.5964,1586.3873,1587.5486,1587.3026,1584.934,1587.2694,1586.3198,1588.5511
2620.363,2622.2307,2624.2205,2623.0017,2625.892,2623.1885,2621.9834,2623.7546,2622.7966,2624.593,2621.8699,2627.6042,2626.5745,2627.8296
2444.449,2445.0447,2445.6846,2445.904,2446.9812,2446.3242,2446.324,2445.3274,2445.585,2447.7651,2442.666,2445.6711,2447.3577,2448.6533
3663.0999,3668.2812,3671.082,3669.9802,3672.7444,3668.3037,3668.1228,3671.147,3670.2502,3673.8845,3673.2112,3675.6829,3676.2603,3680.855
7241.232,7256.1836,7272.0356,7259.1724,7275.8413,7260.9956,7262.2993,7281.0996,7288.2954,7299.4478,7306.0127,7321.591,7313.97,7312.922
5675.58,5690.0483,5696.1577,5701.096,5710.383,5698.879,5692.7456,5699.0186,5706.876,5711.275,5698.0225,5713.287,5706.2944,5718.698
7960.583,8007.6396,8056.907,8078.328,8095.367,8051.6143,8008.3135,8085.0854,8067.3447,8094.7505,8082.7188,8159.414,8194.895,8193.801
3078.3948,3076.4397,3076.165,3080.0647,3080.7056,3081.2021,3080.6357,3082.7341,3079.6465,3078.9888,3078.9014,3080.872,3080.411,3076.8743
4036.881,4038.1914,4042.3286,4045.0469,4044.7954,4037.6082,4037.9504,4043.1611,4040.4438,4043.7979,4046.0354,4044.8047,4047.5845,4049.6777
9538.13,9551.483,9551.679,9540.289,9543.718,9536.786,9538.1875,9534.574,9541.676,9543.3545,9534.895,9534.607,9540.625,9551.523
2685.7546,2691.5085,2692.568,2693.4302,2699.0,2684.7651,2680.095,2684.3762,2689.5369,2689.7695,2682.1501,2690.5293,2691.509,2697.6204
10838.292,10839.89,10842.161,10847.374,10840.702,10849.958,10859.243,10859.473,10849.883,10856.492,10865.501,10861.855,10865.089,10861.376
2674.2795,2680.3306,2680.4146,2681.6042,2688.0393,2673.1626,2668.4617,2672.484,2677.7554,2678.0828,2670.6829,2679.2761,2679.457,2686.2554
2857.7002,2864.5461,2864.8364,2869.4724,2874.1575,2865.0266,2859.2644,2866.218,2870.753,2863.2551,2853.2915,2864.6921,2863.125,2868.496
1925.77,1926.8749,1925.3021,1926.804,1926.7516,1925.4535,1923.34,1925.6985,1929.3721,1923.0459,1920.6675,1923.7297,1923.0328,1923.9312
2548.7793,2556.0618,2555.9507,2559.835,2564.9114,2556.3218,2552.1316,2557.7273,2561.641,2556.4001,2546.84,2558.6555,2556.1724,2561.5986
1595.1248,1596.4381,1594.9009,1596.9822,1597.2753,1595.1366,1594.1018,1596.164,1597.6625,1593.4843,1591.1555,1593.7908,1593.8344,1594.196
2371.5454,2378.1729,2379.313,2383.1482,2387.7798,2379.3538,2375.2139,2381.3613,2384.6636,2379.2712,2371.548,2381.9622,2380.055,2384.8218
1717.8573,1718.6793,1717.16,1718.5319,1718.4193,1717.4551,1715.847,1717.7971,1721.2333,1715.5929,1713.3439,1715.9211,1715.1442,1715.9618
423.60947,424.0502,424.57153,422.99548,422.0511,423.79242,424.8914,424.2861,423.99146,423.58096,423.05334,422.40604,424.81006,424.71594
6409.695,6416.189,6416.1997,6415.647,6425.9697,6422.0664,6412.2905,6413.0635,6421.7695,6423.926,6408.1816,6425.4443,6421.5005,6429.275
608.7851,609.43225,610.18756,607.9012,606.5595,609.0558,610.6152,609.76013,609.34656,608.7386,607.9901,607.0813,610.5264,610.3863
2120.254,2121.6514,2124.1565,2125.3945,2120.665,2118.8044,2124.429,2127.2244,2123.8398,2129.4587,2128.7244,2126.8184,2131.6826,2131.99
1923.0911,1924.6182,1926.9363,1927.902,1923.6931,1921.8724,1927.1414,1929.8345,1926.932,1932.2363,1931.5278,1930.1759,1934.4614,1934.6006
6753.921,6750.607,6765.7744,6772.5195,6762.48,6773.2466,6783.9062,6787.9004,6782.0405,6802.4033,6803.896,6786.0874,6803.0977,6807.119
2279.432,2283.3171,2282.7324,2290.5762,2292.4897,2290.5388,2286.637,2289.3215,2290.9194,2287.6497,2279.749,2284.6958,2289.0588,2290.7898
1660.6483,1658.1494,1659.8049,1659.314,1657.5883,1662.324,1661.9294,1658.4784,1660.5614,1661.9034,1657.3351,1658.2712,1660.6455,1659.1707
3780.4934,3781.8625,3784.0989,3781.1416,3778.2449,3780.8408,3782.9348,3782.1147,3781.687,3786.4358,3785.3108,3785.19,3788.0989,3787.757
2457.015,2455.3774,2455.2366,2457.4802,2452.3022,2449.659,2451.0554,2456.3289,2455.1443,2451.0903,2449.2595,2452.4312,2451.6309,2454.5999
2295.8975,2291.832,2291.65,2291.2034,2291.8613,2298.6636,2296.7778,2293.2637,2299.632,2297.1614,2290.8892,2298.2712,2284.8477,2287.2463
2524.6885,2522.858,2538.4106,2544.1558,2540.7827,2540.356,2541.5964,2546.4973,2544.9497,2562.327,2558.377,2559.7795,2562.3728,2564.4592
3895.0793,3892.8743,3896.2886,3901.0303,3902.2126,3899.2495,3893.4478,3899.4536,3897.1477,3900.837,3895.0723,3895.4556,3900.462,3903.379
6517.855,6510.8604,6538.536,6552.367,6563.5723,6563.1465,6565.3843,6554.7344,6563.04,6580.186,6563.793,6616.3247,6628.9536,6611.3115
6986.973,6996.7373,6983.6055,6996.315,7021.6436,7012.4004,6997.7275,7003.755,7000.679,6990.1094,6985.087,7011.648,6981.454,7005.5903
