V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
644.43134,589.79236,538.3472,514.7506,500.19775,486.5999,483.46185,496.25623,504.29767,547.2227,604.7898,666.3733,750.97626,811.1837,850.02295,869.2339,875.83044,850.64746,837.70166,816.6176,788.4523,760.78894,741.2659,689.4791,634.5833,574.8617,518.1338,496.5362,476.36163,448.04626,449.10458,472.48233,487.58746,523.3812,593.1244,661.881,725.5443,798.6888,852.73065,867.1488,875.4784,869.2617,874.8529,843.5537,813.09735,773.5154,737.1444,693.3341
2897.9644,2679.6995,2390.806,2233.183,2160.3687,2060.9976,2044.5916,2066.1296,2143.4854,2325.3804,2552.0723,2740.4062,2982.4949,3193.6626,3340.8826,3508.102,3638.6196,3681.5503,3731.9258,3731.732,3662.899,3486.6245,3329.5305,3142.2202,2919.2244,2651.2107,2358.623,2235.4277,2104.3083,1961.5881,1942.2815,2019.3181,2109.4917,2250.4092,2522.012,2770.5764,2982.0254,3248.5366,3477.1206,3564.5417,3697.4736,3765.4138,3876.8125,3806.1187,3706.3127,3516.992,3333.8171,3170.5085
1431.4966,1328.1094,1187.6377,1063.6044,970.1305,904.37366,874.1179,858.04297,877.9311,939.9982,1024.3704,1093.2645,1168.1302,1216.8096,1261.877,1318.6487,1366.5944,1411.987,1439.5479,1449.0837,1499.261,1508.9999,1493.7549,1442.8759,1341.2076,1266.0188,1149.6931,1037.9237,942.94324,885.0604,855.12,852.74426,885.49835,904.9655,991.5273,1064.9993,1121.541,1198.036,1241.3145,1266.1504,1293.6438,1329.8141,1337.5137,1359.2168,1367.5897,1359.8445,1348.9858,1318.4117
5493.471,5362.694,4983.612,4634.813,4417.916,4114.8447,3963.358,3783.5625,3751.1802,3864.24,3984.481,4089.249,4242.084,4432.324,4583.694,4873.5845,5085.5654,5251.7803,5455.8213,5682.519,5847.7095,5800.6606,5687.1504,5577.321,5474.8647,5278.505,4855.0024,4480.774,4179.278,3914.4592,3715.4375,3613.233,3715.3667,3632.62,3724.5347,3943.285,4110.203,4426.2207,4702.621,4871.2134,5162.6177,5412.395,5710.6987,5930.2725,6015.474,6043.5527,5811.106,5683.1597
3737.8071,3340.0151,2855.6619,2480.3735,2221.054,1961.1414,1859.3367,1755.5674,1736.9258,1816.7086,1938.3472,1983.929,2146.8604,2346.3696,2557.6328,2914.514,3186.657,3563.4797,3786.7546,3967.7256,4168.995,4177.6475,4083.6382,3840.6765,3342.4993,2999.7136,2659.0215,2293.3022,2027.5071,1840.2537,1715.0205,1639.5774,1736.4012,1666.9983,1779.2444,1885.6145,1964.491,2285.5356,2468.2334,2601.6157,2864.7463,3241.0698,3465.1448,3723.5552,3756.0938,3823.4097,3689.775,3436.7773
5116.617,5278.557,5560.212,5890.3027,6120.6567,6353.1562,6497.2793,6780.376,6987.0977,7083.181,7264.3755,7373.641,7517.854,7561.0127,7553.703,7305.5366,7128.6543,6890.436,6504.444,5958.309,5545.8096,5338.5317,5144.039,5031.4033,5043.4087,5237.541,5566.6562,5894.69,6153.944,6273.8003,6444.927,6674.6777,6725.804,6989.6436,7125.3843,7148.015,7232.7104,7271.5933,7280.074,7172.018,6982.007,6761.9434,6339.4062,5786.1196,5397.4062,5143.9893,5022.4785,4901.549
49279.24,46999.89,43403.938,39638.22,36190.824,33057.996,31633.176,30087.639,29469.43,30023.434,31204.521,32094.475,34120.08,36315.598,38330.254,41231.105,43249.633,45852.914,47565.29,49258.438,51170.59,51629.188,51185.42,49814.312,46654.95,44846.094,42154.062,38176.5,34396.76,32058.94,30146.246,29213.857,29921.496,28747.863,29854.152,31219.314,32405.705,35601.836,37407.094,38767.184,40688.01,43305.055,44926.41,47333.1,47760.25,48761.977,48024.207,47019.016
29540.258,26980.816,24679.557,23496.771,22963.48,22555.203,23037.04,24224.902,25268.713,27162.715,29337.64,31165.953,33775.46,35528.996,37039.6,38418.055,39438.29,39896.992,39560.78,38418.414,37286.887,35902.7,34651.414,31603.97,28334.541,25765.346,23804.37,22774.86,22266.992,21156.844,21901.355,23093.967,24166.104,26013.232,28687.734,30934.424,32846.19,35183.89,37298.906,37874.035,38989.523,39258.49,39350.29,37718.887,36280.4,34534.36,33134.586,30230.072
36216.38,34157.902,31628.584,30075.812,29297.525,28167.93,27853.262,28141.977,28794.209,30122.186,31816.557,33446.703,35756.83,37677.453,39232.496,40949.258,42336.492,42797.734,43103.44,42792.46,42120.973,40763.6,39651.168,38025.227,35941.227,33758.773,31284.96,29977.977,28825.896,27409.188,27247.98,27775.547,28530.898,29392.875,31407.89,33643.906,35670.13,38224.188,40454.734,41442.453,42780.07,43349.367,44276.87,43482.918,42604.4,41082.426,39554.977,37936.26
458.45316,445.22598,431.12814,411.6646,401.07187,393.0035,390.64023,390.2274,389.76843,389.98505,408.3155,412.16336,421.75174,435.36633,438.05118,446.15652,451.11658,457.50702,461.91678,470.20206,475.13232,476.9418,474.03732,460.89072,449.3047,435.38794,422.54437,408.26886,394.0584,387.5867,385.67084,384.53583,382.94275,384.99698,397.63254,412.24313,411.93604,427.98337,439.00253,439.18677,440.0969,451.59616,453.79504,457.5901,460.38696,462.85822,456.86682,445.06976
26894.887,25655.516,24710.145,24820.154,25671.557,26401.486,27716.768,29687.857,31273.898,32701.787,34540.51,35637.15,37541.938,39004.19,40136.08,40617.516,40747.43,40179.484,39252.08,37754.41,36152.09,33280.273,30376.918,28017.623,26072.379,24994.346,24235.377,24319.18,25090.75,24989.912,26583.89,28337.754,29383.777,31391.412,33129.242,34035.23,35334.953,36997.152,38481.07,38808.574,38977.08,38522.094,37527.555,36489.01,34329.684,31091.867,28636.066,26545.543
8246.524,7446.5273,6750.5977,6404.913,6246.1885,6118.9814,6274.4346,6606.152,6930.651,7536.343,8218.563,8718.2705,9437.538,9942.006,10362.427,10823.547,11198.662,11404.289,11368.789,11052.39,10738.046,10292.101,9824.715,8863.219,7809.7456,7012.741,6441.1074,6135.022,5977.665,5645.1323,5863.991,6207.281,6558.946,7153.49,7980.401,8614.669,9128.987,9835.592,10455.885,10668.097,11019.775,11174.686,11207.449,10762.063,10301.836,9749.765,9264.419,8378.528
577.35364,552.3905,520.0214,492.9652,476.5176,461.1538,460.60587,513.2037,535.11865,588.16174,610.7885,642.33887,734.4583,716.1399,704.1428,720.38574,772.29407,816.3812,794.4291,759.3779,760.2822,727.0204,688.23627,642.75726,577.41394,528.7777,496.90314,471.55948,463.90576,433.54642,469.8766,496.56,527.5554,550.8181,595.34406,651.17456,676.4561,645.55273,685.2335,668.74023,748.18384,770.0474,765.6924,718.3413,701.3687,645.25226,652.81104,579.7379
202.39832,188.54109,171.79451,157.68564,147.89325,141.52612,139.03409,137.0386,137.68307,143.51,153.81367,160.11707,167.59985,173.2428,178.5762,186.22253,193.15688,199.16168,203.21472,206.01173,210.49875,211.13692,209.8099,203.16394,187.53993,176.36043,164.16806,151.9727,141.97267,135.3524,131.762,131.65915,134.61397,137.58232,147.43433,155.83719,160.3794,170.29909,174.42041,177.5362,182.80023,190.67848,193.46371,197.74832,196.98083,196.66464,193.82207,186.04288
13763.565,12603.055,11545.589,11007.209,10774.186,10606.893,10860.394,11488.648,12012.597,12820.356,13773.742,14610.913,15794.153,16639.516,17418.688,18002.71,18354.062,18429.652,18239.086,17697.293,17153.053,16567.164,16078.409,14697.247,13281.552,12125.785,11213.36,10757.578,10529.072,10007.18,10387.991,10990.83,11473.956,12291.469,13463.284,14491.361,15407.556,16528.514,17545.08,17775.28,18211.762,18235.08,18249.998,17468.33,16825.74,16088.08,15463.594,14184.078
1288.8326,1224.3772,1089.3092,1001.5939,971.7152,921.7527,909.08655,898.7894,928.76807,975.7876,1032.3903,1090.8123,1175.8024,1247.7826,1313.9403,1398.5283,1496.8483,1550.9507,1579.469,1568.5552,1523.8118,1439.3165,1385.1559,1350.5436,1321.1555,1244.2661,1103.861,1036.2922,971.20154,918.35223,895.31213,902.7666,942.6046,953.9291,1012.0028,1100.3856,1181.3085,1272.9254,1362.2402,1422.6113,1515.9918,1563.1973,1619.0013,1595.5914,1541.4419,1480.196,1402.7155,1381.0214
54964.008,50777.88,46238.215,43283.68,41736.863,39956.477,39482.75,39883.625,40617.562,42261.582,45124.746,47876.484,52445.402,56310.48,59721.832,63155.16,65775.97,66992.32,67401.23,66946.15,66010.48,63368.027,61290.316,58226.387,54103.24,49856.773,45442.113,43025.246,41040.652,38770.266,38452.4,39301.957,40292.348,40953.844,43932.816,47815.895,51553.16,56655.035,60692.887,62866.785,65452.61,66601.03,67647.72,66658.43,65080.96,62205.297,59876.016,56956.87
29199.88,26962.492,24708.822,23590.52,23041.66,22843.441,23310.389,24742.918,25715.115,27984.678,30728.479,33226.93,36202.13,38011.508,38917.496,39203.695,39266.47,38486.492,37778.746,36473.25,35571.367,34708.39,33588.387,30987.023,28127.332,25700.625,23624.709,22826.17,22186.004,21327.719,22171.24,23736.895,24718.516,26987.13,30354.762,32951.094,35276.82,37400.95,38806.332,38752.977,38460.305,38258.453,37735.4,35977.8,34821.383,33671.35,32359.465,29989.453
2122.9827,1958.1157,1793.7412,1714.049,1682.8596,1686.5605,1726.7922,1863.3087,1954.7551,2114.5688,2303.9404,2489.0667,2728.5593,2891.691,2993.963,3056.861,3058.1992,2983.566,2860.1392,2725.652,2643.7651,2574.471,2491.155,2287.9104,2092.0898,1914.6108,1755.1885,1703.7869,1676.0146,1619.5009,1698.9397,1827.2086,1900.8186,2065.036,2307.2505,2489.091,2661.821,2837.52,2986.8389,3003.4736,2987.7114,2945.443,2852.349,2684.1682,2598.3708,2507.5215,2426.166,2237.259
6245.801,5774.052,5310.615,5053.42,4930.8115,4913.3975,4989.08,5360.176,5640.3877,6177.239,6845.0796,7488.961,8315.52,8819.6045,9020.697,9137.979,9128.789,8874.78,8602.455,8186.824,7893.4556,7632.512,7348.2275,6718.628,6108.6787,5566.7554,5088.352,4928.4346,4815.5464,4619.9883,4831.6875,5210.1675,5459.836,5972.85,6744.301,7396.5576,8019.8364,8603.012,9009.115,9128.496,9035.208,8939.602,8700.439,8143.7983,7829.536,7468.9585,7159.008,6553.6055
15540.274,14336.867,13125.151,12572.804,12288.904,12107.91,12330.849,12979.908,13403.263,14609.318,16004.191,17216.695,18562.777,19373.059,19829.514,19868.678,19932.473,19592.78,19397.152,18856.066,18499.836,18149.137,17614.008,16323.166,14787.744,13519.22,12457.412,12033.32,11654.748,11164.227,11527.826,12317.847,12820.389,14061.927,15847.666,17152.148,18259.87,19245.086,19838.021,19641.332,19515.926,19460.115,19356.307,18601.266,18066.408,17577.91,16867.04,15714.317
673.5557,653.0836,627.6617,607.2838,594.0196,582.65216,579.92395,578.4742,580.1599,583.894,595.632,601.9835,613.95514,626.5582,636.663,653.49866,668.63794,687.93115,698.6612,703.46075,712.4659,708.2125,696.5201,678.443,648.97485,632.55927,615.60657,595.76306,582.2771,573.30975,568.0347,568.829,575.48456,572.0801,583.16296,591.34546,597.22614,617.4865,627.6809,632.979,642.44995,661.85504,668.5777,679.8669,676.2445,672.7899,662.9044,647.8703
249.0823,232.35191,210.63545,202.66956,199.52165,197.88544,203.68805,217.51239,227.49309,243.08887,266.05893,289.44562,322.39755,350.9593,374.08932,386.93665,393.1198,389.44043,364.22775,334.78613,311.77185,299.10233,289.7064,266.0725,243.77965,224.10785,203.53717,195.70117,189.73953,182.68484,190.61142,208.68571,216.96976,233.34084,256.68512,277.34476,304.4829,335.07532,357.6438,366.26837,372.52478,367.6038,353.68994,326.5313,308.05606,300.19327,286.20712,265.1975
392.18466,394.748,414.45657,456.34253,513.6867,586.40454,641.7418,714.7804,767.0657,805.313,833.43646,856.67944,858.2126,846.7547,815.12646,756.5349,716.7639,660.6949,605.259,539.747,481.7551,448.03354,419.76392,398.16064,397.90292,394.60892,411.54132,463.83136,529.0768,579.5649,651.91925,727.9982,752.36847,828.92377,864.05597,854.9267,856.0719,816.7721,790.2376,756.7756,707.0856,658.8517,601.8807,530.3679,488.8567,433.91925,420.78598,398.25922
2594.923,2429.057,2217.64,2046.3154,1952.3134,1871.4891,1835.6799,1813.6921,1843.5393,1936.6136,2045.7211,2113.4443,2201.819,2269.4294,2312.239,2403.441,2464.1692,2553.0596,2634.6057,2673.425,2753.827,2778.0664,2760.5361,2684.5676,2545.1907,2390.1602,2175.4788,2029.368,1914.196,1841.3159,1796.6423,1793.2471,1840.6012,1865.647,1981.1199,2078.4502,2137.2751,2246.644,2308.6804,2343.7373,2387.6125,2500.7268,2564.9739,2618.9045,2651.4885,2664.2532,2645.8604,2591.7268
18174.775,16630.621,15479.463,15083.635,14819.738,14376.675,14463.446,15400.955,16534.357,17673.453,19132.941,19975.123,21054.635,21814.762,22289.285,22709.635,22918.236,23411.053,23296.219,22774.148,22564.566,22068.967,21023.932,19012.797,16530.05,15244.797,14645.699,14232.54,14097.317,13509.637,13948.552,14571.522,15397.894,16577.709,17843.406,18667.994,19293.416,20365.324,21071.945,20950.99,21205.299,21772.871,21696.154,21397.643,20683.5,20180.553,19235.52,17348.074
