V1,V2,V3,V4,V5,V6,V7,V8
6874.179,6848.234,6912.009,6885.1445,6908.6353,6899.5127,6964.151,6936.492
7082.5796,7069.231,7108.7646,7067.1284,7092.3633,7091.344,7134.1636,7093.495
7192.2324,7169.8394,7216.3853,7159.5776,7176.499,7182.4824,7230.124,7183.268
7718.58,7767.698,7803.3027,7789.733,7811.7256,7868.9844,7907.1206,7904.8013
1050.2203,954.6927,1189.1373,1407.1173,1103.8602,974.9164,1225.2906,1461.4731
9822.01,9834.089,9901.513,9951.877,9988.04,9998.862,10050.809,10109.622
3343.156,3347.6514,3337.17,3361.813,3361.9285,3367.126,3353.3213,3380.743
2595.7883,2599.6348,2617.1057,2630.0889,2630.0232,2630.0688,2644.4177,2657.5486
2482.0796,2479.479,2481.4739,2507.072,2500.4402,2496.2395,2496.3472,2521.9065
2534.1726,2527.7036,2550.0,2555.596,2537.6177,2531.4888,2552.9038,2559.7065
1154.2288,1154.2816,1153.2904,1152.6046,1153.7155,1154.7915,1153.2292,1150.9484
3257.6416,3019.9792,3299.5237,3433.8464,3304.996,3040.271,3327.5063,3511.2488
1748.9619,1762.43,1775.4048,1784.1335,1784.6543,1794.9033,1803.0487,1817.055
12546.846,12564.98,12699.96,12712.768,12948.486,12902.938,12998.25,13037.654
1255.1149,1241.2998,1305.7941,1302.2201,1261.7725,1239.7551,1301.765,1305.3295
2035.7571,2040.0955,2099.0457,2080.756,2085.4214,2063.9543,2117.2996,2104.1494
2423.143,2465.415,2441.7434,2485.364,2467.099,2507.7358,2478.9866,2522.7021
4664.467,4479.062,4850.8657,4764.1816,4688.381,4480.4165,4846.623,4785.1045
5688.956,5760.403,5801.6533,5851.858,5859.0176,5922.574,5947.689,6005.963
6316.4453,6339.9897,6366.941,6406.9736,6440.0317,6461.9863,6473.0757,6516.9023
9717.526,9771.3125,9806.81,9863.75,9903.841,9940.895,9953.309,9994.717
5091.5576,5117.185,5167.768,5230.386,5143.3447,5144.3516,5187.173,5278.0093
5999.018,5913.135,6084.0005,6163.9746,6102.0166,6000.9854,6166.2656,6262.8003
2327.1194,2327.65,2337.5786,2328.373,2321.5266,2326.3289,2334.6157,2325.3323
1374.5128,1374.2458,1381.1936,1376.1658,1371.8346,1372.5793,1378.8396,1374.8679
7812.7446,7038.9683,7614.0264,9281.44,7947.6245,6997.512,7684.008,9344.305
9191.651,9170.01,9197.539,9202.731,9160.225,9155.514,9178.613,9184.204
4966.1914,4948.0376,4889.586,4910.4937,4994.7563,4947.8315,4888.383,4896.1445
1869.8595,1855.1118,1848.4946,1854.9631,1874.3926,1849.9865,1846.2771,1851.817
3101.3997,3113.877,3066.433,3080.864,3104.4595,3117.119,3068.14,3081.2498
2485.81,2508.3975,2486.7993,2501.3835,2480.877,2506.705,2483.7478,2498.5444
4625.5757,4578.777,4585.985,4598.8833,4643.008,4569.6025,4575.613,4578.4824
8272.818,8307.029,8309.805,8326.42,8362.875,8395.492,8387.845,8416.048
7150.231,7217.841,7152.9814,7178.5093,7135.598,7217.0938,7144.2993,7160.2666
10094.436,10228.39,10180.761,10037.236,10113.106,10265.212,10193.078,10056.814
9014.704,9020.249,8969.833,9052.376,9034.222,9022.179,8967.836,9064.891
4445.186,4442.655,4463.8496,4488.1514,4430.322,4428.986,4437.6323,4471.803
6361.6943,6335.418,6345.4146,6400.032,6384.634,6332.342,6349.833,6411.9707
5477.9883,5578.8174,5988.738,5960.4556,5516.486,5557.92,5967.707,5977.2207
5249.4556,5274.075,5275.5396,5295.4023,5329.399,5352.9785,5349.809,5378.7314
1904.8301,1902.5214,1910.6195,1909.432,1915.2886,1911.5354,1917.2788,1918.686
2108.3337,2100.492,2104.0369,2106.1392,2121.4434,2110.2036,2109.6736,2111.3157
5366.8716,5422.92,5397.391,5426.735,5412.4253,5462.462,5431.8345,5459.287
1282.2095,1286.9677,1277.9619,1281.4504,1296.9314,1301.3373,1289.8302,1296.0249
1915.4509,1907.9294,1913.3583,1912.5426,1921.3865,1913.05,1915.8619,1915.7384
3368.1443,3382.932,3390.0142,3366.3252,3373.0164,3373.2854,3374.8804,3362.5369
9638.265,9680.957,9652.13,9675.512,9658.103,9687.82,9654.308,9683.663
1396.9285,1380.2565,1399.9999,1404.7885,1405.4946,1380.8987,1397.8174,1402.8358
8920.736,9009.66,8946.564,8944.467,8966.969,9060.6455,8987.113,8983.966
9145.829,9325.597,9196.657,9275.117,9135.532,9330.709,9195.234,9241.675
1482.6022,1498.1254,1506.4879,1460.4679,1499.8494,1517.6427,1519.3938,1474.2832
5779.022,5789.8403,5801.0605,5791.9854,5785.7275,5782.777,5796.5,5794.072
2633.0042,2616.2214,2655.9246,2599.9233,2639.4644,2612.5576,2646.827,2602.6597
1649.5208,1645.8933,1651.4785,1650.6719,1655.4854,1647.808,1651.5457,1651.8047
6896.3394,6904.8057,6886.0527,6893.6177,6928.156,6914.1284,6896.5356,6909.3774
2977.1458,2978.102,3025.1196,2939.427,2985.5059,2979.529,3026.8938,2950.3738
1469.9722,1472.6729,1471.541,1471.0043,1482.4928,1482.1354,1479.209,1480.9557
7298.0444,7357.9316,7339.149,7270.107,7302.446,7355.371,7334.7344,7269.901
9439.182,9517.131,9513.496,9414.981,9475.865,9519.638,9519.952,9437.152
1392.4885,1400.5452,1404.787,1398.4685,1402.4686,1404.9595,1407.9679,1402.7733
2814.8193,2837.9392,2867.5918,2881.06,2919.8303,2925.5962,2945.4849,2965.5298
2106.3308,2112.1812,2118.8303,2125.154,2144.839,2158.4912,2154.0166,2161.6401
2909.559,2976.1912,3071.6604,3122.5693,3182.831,3229.7854,3304.4263,3385.4893
3208.582,3235.6594,3282.483,3326.3398,3376.8228,3385.3193,3417.386,3479.9866
4754.7354,4796.6924,4855.3354,4867.578,4883.743,4902.857,4941.1484,4972.59
6295.407,6464.0024,6537.4365,6607.2134,6712.0464,6835.5073,6874.932,6975.938
10813.788,11009.273,11131.802,11239.43,11384.552,11540.0,11618.142,11779.682
3219.486,3266.5925,3288.062,3270.7114,3271.95,3313.2512,3324.8433,3320.5688
1092.9536,1100.4303,1099.0815,1094.4232,1108.5388,1106.6348,1105.0088,1102.7817
10719.261,10760.5,10783.549,10789.361,10809.148,10838.898,10854.075,10873.217
4937.751,4977.0317,4958.2173,4945.516,4993.5796,5011.0845,4991.1895,4971.508
3878.0674,3848.6091,3853.555,3843.4253,3880.6572,3840.022,3838.1313,3826.6365
5230.294,5277.427,5317.858,5357.525,5402.73,5434.2603,5464.7295,5520.07
3040.1174,3070.4597,3101.1365,3122.6907,3143.871,3166.1162,3190.0894,3221.7493
1606.2961,1614.3362,1621.8744,1625.0944,1632.9816,1638.2621,1644.1775,1649.017
13524.221,13579.822,13644.106,13687.979,13740.33,13774.827,13823.906,13890.998
17734.387,17949.945,18079.633,18192.12,18330.55,18504.63,18597.527,18744.848
17177.69,17310.043,17476.703,17590.186,17623.793,17703.549,17839.889,18008.57
1682.0947,1693.4299,1711.0941,1709.4846,1719.9841,1724.7052,1737.6312,1738.8337
6804.78,6819.836,6815.6987,6807.0684,6805.9263,6821.758,6817.622,6807.2715
4518.5933,4523.8525,4520.401,4520.9277,4518.4985,4523.6875,4520.3896,4520.4287
2203.0742,2196.2297,2197.979,2198.741,2197.872,2197.1938,2196.931,2196.8418
3484.6533,3459.69,3488.0142,3505.4375,3523.732,3514.935,3534.4797,3551.8958
12306.059,12277.361,12294.66,12336.2295,12311.1045,12314.193,12324.501,12368.3955
33535.297,34096.543,34311.703,34016.36,34718.996,34929.29,34964.492,34998.516
1106.8539,1105.6713,1107.6213,1111.1805,1106.9283,1108.6576,1109.8021,1113.9888
2373.0693,2390.246,2400.0405,2406.2134,2416.0542,2429.6338,2436.8933,2445.9368
3865.5247,3848.6199,3851.676,3899.258,3870.1821,3873.5908,3872.586,3912.1743
8392.461,8331.165,8311.322,8409.66,8341.264,8359.245,8316.272,8409.02
8579.407,8375.2705,8309.191,8520.623,8580.922,8424.8545,8368.762,8500.722
1082.2588,1080.604,1081.6008,1083.9813,1082.3052,1084.6953,1085.3896,1087.5493
7208.837,7207.384,7206.9976,7200.303,7207.3066,7205.241,7201.3535,7197.488
1572.2076,1583.8678,1591.5608,1596.4441,1603.1357,1611.742,1617.7104,1625.0282
3995.1438,3979.0344,3987.7073,3986.6343,3988.112,3977.3186,3981.209,3976.6592
5920.545,5909.6523,5911.5693,5920.3115,5925.566,5918.9116,5914.326,5920.49
9069.7,9044.713,9033.622,8946.02,9058.428,9023.846,9002.922,8922.402
21170.707,21282.246,21351.65,21388.61,21465.828,21553.45,21604.166,21664.227
2457.6675,2447.4158,2455.1633,2464.6514,2459.0476,2456.731,2464.7668,2469.5068
1508.7708,1496.3334,1506.345,1515.6304,1494.6915,1515.3921,1524.6731,1540.0964
6930.5537,6879.622,6891.106,6923.4995,6910.378,6895.273,6896.956,6926.1963
4281.1064,4286.69,4288.2866,4290.2744,4286.82,4302.5576,4302.3667,4297.78
2278.567,2276.4958,2291.1672,2289.2134,2278.462,2282.0554,2296.912,2300.0225
2294.5032,2291.173,2291.1814,2294.5845,2293.9556,2293.9253,2293.0688,2295.9575
6091.047,6070.679,6075.496,6102.6133,6085.0337,6086.455,6083.924,6113.081
1824.7771,1830.744,1835.4601,1835.8978,1846.0621,1848.7926,1851.718,1853.8396
3668.024,3688.6445,3719.356,3721.108,3721.4119,3724.061,3745.91,3766.675
6253.138,6262.8906,6276.5176,6272.3193,6252.723,6259.289,6266.799,6267.6924
2318.8083,2313.8867,2319.7842,2321.1113,2320.0635,2315.4666,2321.413,2323.3242
3078.5393,3089.8845,3090.684,3093.9387,3085.141,3094.1184,3093.3774,3096.08
2333.3816,2327.3994,2329.2583,2332.5864,2335.5627,2330.8438,2332.4304,2335.7944
5639.925,5642.3486,5616.7744,5669.639,5624.364,5647.3315,5614.422,5674.627
3903.4038,3910.904,3918.6553,3923.4487,3917.9329,3922.3167,3929.594,3938.092
3391.6794,3394.8184,3397.767,3406.462,3395.0942,3404.3738,3406.3599,3412.6394
3264.4897,3256.5066,3265.8215,3266.0503,3262.5793,3255.4788,3264.941,3267.7957
1421.978,1439.9623,1434.8302,1435.8481,1435.9143,1446.8016,1440.2,1444.0466
2440.9133,2429.6707,2440.4788,2443.8406,2440.5964,2435.051,2447.3127,2453.1416
1561.4387,1430.267,1547.488,1712.7278,1591.9508,1440.1503,1571.6296,1764.1864
4049.4724,4070.69,4096.3774,4125.3945,4130.2207,4150.6035,4169.905,4202.697
3245.0107,3274.3928,3283.1697,3287.7705,3305.7424,3323.2075,3327.993,3337.6301
1472.1107,1492.2245,1517.7833,1523.7856,1548.8613,1561.1929,1579.0818,1588.8495
1674.6199,1680.8003,1677.6696,1680.1523,1672.3734,1679.1522,1675.5225,1678.5485
3318.4167,3317.6924,3314.7458,3311.999,3325.9353,3325.8572,3320.0754,3313.797
1768.6605,1783.66,1796.5964,1806.8391,1818.0781,1828.8499,1837.9149,1852.5692
10311.7705,10314.074,10304.796,10312.706,10298.763,10306.911,10291.716,10308.874
1413.017,1423.0386,1418.452,1416.3987,1410.6589,1410.4447,1404.9685,1421.9926
5968.4287,5986.067,5999.859,6011.557,6053.449,6053.149,6059.4062,6083.9287
1217.1215,1225.703,1232.7894,1235.8961,1241.2587,1246.5924,1251.9938,1256.8569
1075.95,1079.2701,1082.4877,1083.0345,1087.7521,1089.3439,1091.3718,1092.5974
1131.7935,1134.7122,1137.7614,1137.5106,1143.851,1145.1819,1146.7904,1147.3209
7880.168,7882.8857,7878.3975,7908.7627,7894.9795,7863.235,7853.346,7905.344
3340.4707,3385.0696,3402.413,3407.9568,3423.764,3454.7915,3465.2786,3486.9395
3368.5378,3400.648,3419.2292,3425.8735,3475.0415,3484.489,3498.8848,3517.4321
10050.355,10132.744,10182.14,10228.336,10327.658,10380.34,10404.887,10467.526
1116.3235,1119.6674,1120.6055,1120.6252,1116.3429,1117.965,1118.7031,1119.8877
2762.7969,2755.504,2772.1929,2765.478,2754.2476,2739.22,2751.5322,2755.4404
1062.8934,1058.8798,1054.7036,1057.4209,1062.7979,1059.1754,1052.5659,1058.4712
10478.049,10590.449,10643.134,10747.299,10852.512,10949.534,10964.676,11108.205
6342.825,6418.803,6464.2334,6520.0874,6563.783,6627.6616,6655.9507,6729.86
