V1,V2,V3,V4,V5,V6
7257.041,7261.3345,7258.406,7267.747,7264.4756,7258.431
1755.1526,1823.3961,1906.3029,1957.7032,2007.6768,2092.6138
8598.236,8805.248,9016.771,9185.107,9318.127,9485.053
9894.273,10147.776,10427.931,10663.792,10865.996,11082.818
7130.425,7380.435,7689.7964,7956.8633,8248.382,8508.955
4172.453,4339.229,4545.098,4708.9688,4872.153,5075.337
3721.3213,3846.0823,3999.045,4106.236,4223.9155,4373.1016
2394.4114,2392.9492,2390.5432,2388.6719,2392.9248,2392.7437
2318.9358,2345.7964,2378.6416,2404.658,2429.6433,2461.4934
2324.8118,2343.6047,2366.3022,2378.5664,2393.931,2417.3918
1485.5176,1496.4352,1509.2231,1517.5928,1528.0327,1539.409
2035.3894,2085.9204,2146.7656,2198.4807,2247.555,2307.355
4666.51,4772.5713,4886.491,4978.7954,5040.8584,5069.573
5091.598,5186.791,5288.33,5372.2686,5421.413,5463.008
5434.4277,5584.5786,5748.3984,5883.2754,5971.4917,6056.485
2561.8706,2601.685,2640.109,2683.7986,2702.1743,2708.577
3834.3254,3896.3462,3956.451,4002.8105,4033.7751,4056.4805
3155.4507,3189.514,3222.3071,3258.5562,3283.65,3283.6414
3170.266,3390.9133,3646.4978,3833.6174,4013.589,4253.048
6607.0825,6751.266,6923.0493,7055.7686,7171.951,7328.0947
9638.014,9983.66,10391.579,10682.854,10950.75,11305.059
4547.2354,4730.979,4958.42,5115.4053,5296.3613,5540.175
9742.083,9844.367,9944.872,9922.357,9995.576,10110.467
9046.338,9237.683,9456.773,9546.295,9719.715,9976.137
2463.055,2547.5684,2652.5986,2729.433,2808.6582,2915.8455
7553.9585,7826.3604,8146.4375,8340.15,8568.627,8891.005
1833.3967,1902.1411,1988.9551,2050.5754,2120.391,2212.5103
1769.8988,1825.8704,1893.8994,1937.5498,1989.4668,2060.4216
4198.094,4249.7515,4311.905,4347.5234,4386.8394,4444.8433
4574.1924,4678.048,4802.7236,4907.593,5009.2544,5131.411
3741.1013,3743.8335,3745.129,3741.407,3755.016,3764.0483
5462.915,5540.7363,5636.063,5709.362,5784.5674,5879.055
1281.5499,1297.6823,1316.7424,1331.7068,1346.036,1364.1523
1704.5715,1725.1528,1749.9261,1768.1262,1784.5095,1808.0804
3423.8909,3481.6003,3550.668,3600.9077,3653.9807,3720.1484
1167.3853,1179.8033,1195.0245,1205.752,1216.5708,1231.2836
4011.738,4086.211,4174.8765,4237.872,4300.9746,4384.164
3128.3545,3150.4175,3075.1855,3263.8916,3057.121,3032.0088
